"type","modified","language","license","rightsHolder","accessRights","bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","behavior","establishmentMeans","occurrenceStatus","preparations","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","associatedOccurrences","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","scientificName","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonRemarks","BISMaLtaxonID"
"","2018-12-26T15:00:07+09:00","en","http://creativecommons.org/licenses/by/4.0/legalcode","","","Biodiversity Center of Japan, Ministry of the Environment. Data file of tidal flats survey on Monitoring sites 1000 project at http://www.biodic.go.jp/moni1000/findings/data/index_file_tidalflats.html. Accessed on yyyy-mm-dd.","http://www.biodic.go.jp/moni1000/findings/data/index_file_tidalflats.html","","","","BDCJ","MOT-TF","Survey data of tidal flats on the Monitoring sites 1000 project, BDCJ","HumanObservation","","","urn:catalog:BDCJ:MOT-TF:NGUAL0000028","NGUAL0000028","mem2008TFNGU","Yasuhisa HENMI","","","","","","","","Present","","","","","","","","","","","","","","2008-07-02T11:30:00+09:00/2008-07-02T12:50:00+09:00","12:10:00+09:00","184","184","2008","7","2","","","Qualitative survey of Macrozoobenthos","","","","","","","","","","","","","Japan","Kumamoto","","Nagaura","","","","","","","","32.540000","130.410000","","","","","","","","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]","","","","","","","","urn:lsid:marinespecies.org:taxname:342008","","Octopus ocellatus","","","","","","","","","","species","","","9000908"
"","2018-12-26T15:00:07+09:00","en","http://creativecommons.org/licenses/by/4.0/legalcode","","","Biodiversity Center of Japan, Ministry of the Environment. Data file of tidal flats survey on Monitoring sites 1000 project at http://www.biodic.go.jp/moni1000/findings/data/index_file_tidalflats.html. Accessed on yyyy-mm-dd.","http://www.biodic.go.jp/moni1000/findings/data/index_file_tidalflats.html","","","","BDCJ","MOT-TF","Survey data of tidal flats on the Monitoring sites 1000 project, BDCJ","HumanObservation","","","urn:catalog:BDCJ:MOT-TF:NGUAL0000079","NGUAL0000079","mem2008TFNGU","Yasuhisa HENMI","","","","","","","","Present","","","","","","","","","","","","","","2008-07-01T12:00:00+09:00/2008-07-01T13:20:00+09:00","12:40:00+09:00","183","183","2008","7","1","","","Qualitative survey of Macrozoobenthos","","","","","","","","","","","","","Japan","Kumamoto","","Nagaura","","","","","","","","32.540000","130.430000","","","","","","","","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]","","","","","","","","urn:lsid:marinespecies.org:taxname:342008","","Octopus ocellatus","","","","","","","","","","species","","","9000908"
"","2018-12-26T15:00:07+09:00","en","http://creativecommons.org/licenses/by/4.0/legalcode","","","Biodiversity Center of Japan, Ministry of the Environment. Data file of tidal flats survey on Monitoring sites 1000 project at http://www.biodic.go.jp/moni1000/findings/data/index_file_tidalflats.html. Accessed on yyyy-mm-dd.","http://www.biodic.go.jp/moni1000/findings/data/index_file_tidalflats.html","","","","BDCJ","MOT-TF","Survey data of tidal flats on the Monitoring sites 1000 project, BDCJ","HumanObservation","","","urn:catalog:BDCJ:MOT-TF:NGUAL0000202","NGUAL0000202","mem2009TFNGU","Yasuhisa HENMI","","","","","","","","Present","","","","","","","","","","","","","","2009-05-07T11:40:00+09:00/2009-05-07T13:00:00+09:00","12:20:00+09:00","127","127","2009","5","7","","","Qualitative survey of Macrozoobenthos","","","","","","","","","","","","","Japan","Kumamoto","","Nagaura","","","","","","","","32.540000","130.430000","","","","","","","","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]","","","","","","","","urn:lsid:marinespecies.org:taxname:342002","","Octopus minor","","","","","","","","","","species","","","9000919"
"","2023-11-27T15:44:43.794131+09:00","","ccbync","","","""Japan Agency for Marine-Earth Science and Technology (2016) Data and Sample Research System for Whole Cruise Information in JAMSTEC (DARWIN). http://www.godac.jamstec.go.jp/darwin/, Accessed on yyyy-mm-dd.""","","","","","JAMSTEC","Biological Sample Collection","Marine Biological Sample Database, JAMSTEC","PreservedSpecimen","","","urn:catalog:JAMSTEC:Biological Sample Collection:052569","052569","","","","","","","","","","Present","-80 deg. C Freeze/-80 deg. C Freeze","","","","","","","","","","","","","2002-03-05","","64","64","2002","3","5","","","KAIYO/HYPER-DOLPHIN","","","","","","","","","","Enshu Nada - Nankai Trough - North Western Pacific","","","Japan","","","","","","817.00","817.00","","","","34.026700","138.199600","","","","","","","","","","","","","","","9000325","urn:lsid:marinespecies.org:taxname:342272","","Amphitretus pelagicus","Animalia","Mollusca","Cephalopoda","Octopoda","Amphitretidae","Amphitretus","","pelagicus","","species","Hoyle, 1885","","9000325"
"","2023-11-27T15:44:47.755351+09:00","","ccbync","","","""Japan Agency for Marine-Earth Science and Technology (2016) Data and Sample Research System for Whole Cruise Information in JAMSTEC (DARWIN). http://www.godac.jamstec.go.jp/darwin/, Accessed on yyyy-mm-dd.""","","","","","JAMSTEC","Biological Sample Collection","Marine Biological Sample Database, JAMSTEC","PreservedSpecimen","","","urn:catalog:JAMSTEC:Biological Sample Collection:058309","058309","","","","","","","","","","Present","10% Formalin/10% Formalin","","","","","","","","","","","","","2005-06-17","","168","168","2005","6","17","","","YOKOSUKA/SHINKAI 6500","","","","","","","","","","Enshu Nada - Nankai Trough - North Western Pacific","","","Japan","","","off Kumano-nada","","","2049.00","2049.00","","","","33.263000","136.717300","WGS 84","","","","","","","","","","Takashi Okutani","","","","1282","urn:lsid:marinespecies.org:taxname:138266","","Benthoctopus","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Benthoctopus","","","","genus","Grimpe, 1921","","0001282"
"","2023-11-27T15:46:11.907797+09:00","","ccbync","","","""Japan Agency for Marine-Earth Science and Technology (2016) Data and Sample Research System for Whole Cruise Information in JAMSTEC (DARWIN). http://www.godac.jamstec.go.jp/darwin/, Accessed on yyyy-mm-dd.""","","","","","JAMSTEC","Biological Sample Collection","Marine Biological Sample Database, JAMSTEC","PreservedSpecimen","","","urn:catalog:JAMSTEC:Biological Sample Collection:090791","090791","","","","","","","","","","Present","Frozen/Frozen","","","","","","","","","","","","","2019-07-26T15:24:00+09:00","15:24:00+09:00","207","207","2019","7","26","","","KAIMEI/KM-ROV/Slurp gun","","","","","","","","","","Off Eastern Japan - North Western Pacific","","","Japan","","","off Kamaishi","","","553.00","553.00","","","","39.247050","142.236917","WGS 84","","","","","","","","","","Hiroyuki Yokooka","","","","952","urn:lsid:marinespecies.org:taxname:11782","","Octopodidae","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","","","","","family","Orbigny, 1845","","0000952"
"","2023-11-27T15:46:14.458593+09:00","","ccbync","","","""Japan Agency for Marine-Earth Science and Technology (2016) Data and Sample Research System for Whole Cruise Information in JAMSTEC (DARWIN). http://www.godac.jamstec.go.jp/darwin/, Accessed on yyyy-mm-dd.""","","","","","JAMSTEC","Biological Sample Collection","Marine Biological Sample Database, JAMSTEC","PreservedSpecimen","","","urn:catalog:JAMSTEC:Biological Sample Collection:106390","106390","","","","","","","","","","Present","Live/Live","","","","","","","","","","","","","2019-08-12T12:57:00+09:00","12:57:00+09:00","224","224","2019","8","12","","","KAIMEI/KM-ROV/Slurp gun","","","","","","","","","","Off Eastern Japan - North Western Pacific","","","Japan","","","Off Sanriku, Off Miyako","","","488","488","","","","39.6148","142.269433","WGS 84","","","","","","","","","","Makoto Sugimura","","","","2257","urn:lsid:marinespecies.org:taxname:157018","","Graneledone","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Graneledone","","","","genus","Joubin, 1918","","0002257"
"","2023-11-27T15:45:34.14785+09:00","","ccbync","","","""Japan Agency for Marine-Earth Science and Technology (2016) Data and Sample Research System for Whole Cruise Information in JAMSTEC (DARWIN). http://www.godac.jamstec.go.jp/darwin/, Accessed on yyyy-mm-dd.""","","","","","JAMSTEC","Biological Sample Collection","Marine Biological Sample Database, JAMSTEC","PreservedSpecimen","","","urn:catalog:JAMSTEC:Biological Sample Collection:1120032015","1120032015","","","","","","","","","","Present","10% Formalin/70% Ethanol","","","","","","","","","","","","","2011-06-19","","170","170","2011","6","19","","","NATSUSHIMA/HYPER-DOLPHIN/Slurp gun","","","","","","","","","","Northern Ogasawara Islands - Izu-Ogasawara Islands - North Western Pacific","","","Japan","","","Suiyo Seamount","","","1384.00","1384.00","","","","28.571100","140.643400","WGS 84","","","","","","","","","","Takashi Okutani","","","","1282","urn:lsid:marinespecies.org:taxname:138266","","Benthoctopus","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Benthoctopus","","","","genus","Grimpe, 1921","","0001282"
"","2023-11-27T15:45:40.782134+09:00","","ccbync","","","""Japan Agency for Marine-Earth Science and Technology (2016) Data and Sample Research System for Whole Cruise Information in JAMSTEC (DARWIN). http://www.godac.jamstec.go.jp/darwin/, Accessed on yyyy-mm-dd.""","","","","","JAMSTEC","Biological Sample Collection","Marine Biological Sample Database, JAMSTEC","PreservedSpecimen","","","urn:catalog:JAMSTEC:Biological Sample Collection:1130037287","1130037287","","","","","","","","","","Present","99.5% Ethanol/99.5% Ethanol","","","","","","","","","","","","","2013-07-01","","182","182","2013","7","1","","","KAIYO MARU No.3/Crambon","","","","","","","","","","Off Eastern Japan - North Western Pacific","","","Japan","","","off Kamaishi, Sanriku Coast","","","474.00","474.00","","","","39.244400","142.215100","","","","","","","","","","","Okutani","","","","1282","urn:lsid:marinespecies.org:taxname:138266","","Benthoctopus","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Benthoctopus","","","","genus","Grimpe, 1921","","0001282"
"","2023-11-27T15:45:50.657083+09:00","","ccbync","","","""Japan Agency for Marine-Earth Science and Technology (2016) Data and Sample Research System for Whole Cruise Information in JAMSTEC (DARWIN). http://www.godac.jamstec.go.jp/darwin/, Accessed on yyyy-mm-dd.""","","","","","JAMSTEC","Biological Sample Collection","Marine Biological Sample Database, JAMSTEC","PreservedSpecimen","","","urn:catalog:JAMSTEC:Biological Sample Collection:1140045282","1140045282","","","","","","","","","","Present","10% Formalin/99.5% Ethanol","","","","","","","","","","","","","2014-07-09","","190","190","2014","7","9","","","NATSUSHIMA/HYPER-DOLPHIN/Slurp gun, Canister 5","","","","","","","","","","Off Eastern Japan - North Western Pacific","","","Japan","","","Kamaishi Canyon","","","774.00","774.00","","","","39.241900","142.307800","WGS 84","","","","","","","","","","Takashi Okutani","","","","9044864","urn:lsid:marinespecies.org:taxname:341916","","Benthoctopus fuscus","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Benthoctopus","","fuscus","","species","(Taki, 1964)","","9044864"
